"","Date","Open","High","Low","Close","Adj.Close","Volume"
"7861","2021-08-13",148.970001,149.440002,148.270004,149.100006,147.593796,59375000
"7862","2021-08-16",148.539993,151.190002,146.470001,151.119995,149.593384,103296000
"7863","2021-08-17",150.229996,151.679993,149.089996,150.190002,148.672791,92229700
"7864","2021-08-18",149.800003,150.720001,146.149994,146.360001,144.881485,86326000
"7865","2021-08-19",145.029999,148,144.5,146.699997,145.218048,86960300
"7866","2021-08-20",147.440002,148.5,146.779999,148.190002,146.692993,60549600
"7867","2021-08-23",148.309998,150.190002,147.889999,149.710007,148.197632,60131800
"7868","2021-08-24",149.449997,150.860001,149.149994,149.619995,148.108536,48606400
"7869","2021-08-25",149.809998,150.320007,147.800003,148.360001,146.861282,58991300
"7870","2021-08-26",148.350006,149.119995,147.509995,147.539993,146.049561,48597200
"7871","2021-08-27",147.479996,148.75,146.830002,148.600006,147.098862,55802400
"7872","2021-08-30",149,153.490005,148.610001,153.119995,151.573181,90956700
"7873","2021-08-31",152.660004,152.800003,151.289993,151.830002,150.296234,86453100
"7874","2021-09-01",152.830002,154.979996,152.339996,152.509995,150.96936,80313700
"7875","2021-09-02",153.869995,154.720001,152.399994,153.649994,152.097839,71115500
"7876","2021-09-03",153.759995,154.630005,153.089996,154.300003,152.741272,57808700
"7877","2021-09-07",154.970001,157.259995,154.389999,156.690002,155.107117,82278300
"7878","2021-09-08",156.979996,157.039993,153.979996,155.110001,153.543106,74420200
"7879","2021-09-09",155.490005,156.110001,153.949997,154.070007,152.513596,57305700
"7880","2021-09-10",155,155.479996,148.699997,148.970001,147.465118,140893200
"7881","2021-09-13",150.630005,151.419998,148.75,149.550003,148.039276,102404300
"7882","2021-09-14",150.350006,151.070007,146.910004,148.119995,146.623703,109296300
"7883","2021-09-15",148.559998,149.440002,146.369995,149.029999,147.524521,83281300
"7884","2021-09-16",148.440002,148.970001,147.220001,148.789993,147.286926,68034100
"7885","2021-09-17",148.820007,148.820007,145.759995,146.059998,144.584503,129868800
"7886","2021-09-20",143.800003,144.839996,141.270004,142.940002,141.496033,123478900
"7887","2021-09-21",143.929993,144.600006,142.779999,143.429993,141.981064,75834000
"7888","2021-09-22",144.449997,146.429993,143.699997,145.850006,144.376633,76404300
"7889","2021-09-23",146.649994,147.080002,145.639999,146.830002,145.346725,64838200
"7890","2021-09-24",145.660004,147.470001,145.559998,146.919998,145.435837,53477900
"7891","2021-09-27",145.470001,145.960007,143.820007,145.369995,143.901474,74150700
"7892","2021-09-28",143.25,144.75,141.690002,141.910004,140.47644,108972300
"7893","2021-09-29",142.470001,144.449997,142.029999,142.830002,141.387131,74602000
"7894","2021-09-30",143.660004,144.380005,141.279999,141.5,140.070587,89056700
"7895","2021-10-01",141.899994,142.919998,139.110001,142.649994,141.208939,94639600
"7896","2021-10-04",141.759995,142.210007,138.270004,139.139999,137.734406,98322000
"7897","2021-10-05",139.490005,142.240005,139.360001,141.110001,139.684525,80861100
"7898","2021-10-06",139.470001,142.149994,138.369995,142,140.565521,83221100
"7899","2021-10-07",143.059998,144.220001,142.720001,143.289993,141.842499,61732700
"7900","2021-10-08",144.029999,144.179993,142.559998,142.899994,141.456436,58773200
"7901","2021-10-11",142.270004,144.809998,141.809998,142.809998,141.36734,64452200
"7902","2021-10-12",143.229996,143.25,141.039993,141.509995,140.08049,73035900
"7903","2021-10-13",141.240005,141.399994,139.199997,140.910004,139.486542,78762700
"7904","2021-10-14",142.110001,143.880005,141.509995,143.759995,142.307739,69907100
"7905","2021-10-15",143.770004,144.899994,143.509995,144.839996,143.376831,67940300
"7906","2021-10-18",143.449997,146.839996,143.160004,146.550003,145.069565,85589200
"7907","2021-10-19",147.009995,149.169998,146.550003,148.759995,147.257233,76378900
"7908","2021-10-20",148.699997,149.75,148.119995,149.259995,147.752197,58418800
"7909","2021-10-21",148.809998,149.639999,147.869995,149.479996,147.969955,61421000
"7910","2021-10-22",149.690002,150.179993,148.639999,148.690002,147.187943,58883400
"7911","2021-10-25",148.679993,149.369995,147.619995,148.639999,147.138443,50720600
"7912","2021-10-26",149.330002,150.839996,149.009995,149.320007,147.8116,60893400
"7913","2021-10-27",149.360001,149.729996,148.490005,148.850006,147.346359,56094900
"7914","2021-10-28",149.820007,153.169998,149.720001,152.570007,151.028748,100077900
"7915","2021-10-29",147.220001,149.940002,146.410004,149.800003,148.286713,124953200
"7916","2021-11-01",148.990005,149.699997,147.800003,148.960007,147.455231,74588300
"7917","2021-11-02",148.660004,151.570007,148.649994,150.020004,148.504517,69122000
"7918","2021-11-03",150.389999,151.970001,149.820007,151.490005,149.959671,54511500
"7919","2021-11-04",151.580002,152.429993,150.639999,150.960007,149.435028,60394600
"7920","2021-11-05",151.889999,152.199997,150.059998,151.279999,149.970352,65463900
"7921","2021-11-08",151.410004,151.570007,150.160004,150.440002,149.137619,55020900
"7922","2021-11-09",150.199997,151.429993,150.059998,150.809998,149.504395,56787900
"7923","2021-11-10",150.020004,150.130005,147.850006,147.919998,146.639404,65187100
"7924","2021-11-11",148.960007,149.429993,147.679993,147.869995,146.589844,4.1e+07
"7925","2021-11-12",148.429993,150.399994,147.479996,149.990005,148.691513,63804000
"7926","2021-11-15",150.369995,151.880005,149.429993,150,148.701416,59222800
"7927","2021-11-16",149.940002,151.490005,149.339996,151,149.692764,59256200
"7928","2021-11-17",151,155,150.990005,153.490005,152.161209,88807000
"7929","2021-11-18",153.710007,158.669998,153.050003,157.869995,156.503281,137827700
"7930","2021-11-19",157.649994,161.020004,156.529999,160.550003,159.160095,117305600
"7931","2021-11-22",161.679993,165.699997,161,161.020004,159.626038,117467900
"7932","2021-11-23",161.119995,161.800003,159.059998,161.410004,160.012619,96041900
"7933","2021-11-24",160.75,162.139999,159.639999,161.940002,160.538071,69463600
"7934","2021-11-26",159.570007,160.449997,156.360001,156.809998,155.452469,76959800
"7935","2021-11-29",159.369995,161.190002,158.789993,160.240005,158.852768,88748200
"7936","2021-11-30",159.990005,165.520004,159.919998,165.300003,163.868958,174048100
"7937","2021-12-01",167.479996,170.300003,164.529999,164.770004,163.343552,152052500
"7938","2021-12-02",158.740005,164.199997,157.800003,163.759995,162.342285,136739200
"7939","2021-12-03",164.020004,164.960007,159.720001,161.839996,160.438919,118023100
"7940","2021-12-06",164.289993,167.880005,164.279999,165.320007,163.888794,107497000
"7941","2021-12-07",169.080002,171.580002,168.339996,171.179993,169.698059,120405400
"7942","2021-12-08",172.130005,175.960007,170.699997,175.080002,173.564316,116998900
"7943","2021-12-09",174.910004,176.75,173.919998,174.559998,173.048782,108923700
"7944","2021-12-10",175.210007,179.630005,174.690002,179.449997,177.896439,115402700
"7945","2021-12-13",181.119995,182.130005,175.529999,175.740005,174.218582,153237000
"7946","2021-12-14",175.25,177.740005,172.210007,174.330002,172.820801,139380400
"7947","2021-12-15",175.110001,179.5,172.309998,179.300003,177.747772,131063300
"7948","2021-12-16",179.279999,181.139999,170.75,172.259995,170.768707,150185800
"7949","2021-12-17",169.929993,173.470001,169.690002,171.139999,169.658401,195432700
"7950","2021-12-20",168.279999,170.580002,167.460007,169.75,168.280441,107499100
"7951","2021-12-21",171.559998,173.199997,169.119995,172.990005,171.492401,91185900
"7952","2021-12-22",173.039993,175.860001,172.149994,175.639999,174.119446,92135300
"7953","2021-12-23",175.850006,176.850006,175.270004,176.279999,174.753891,68356600
"7954","2021-12-27",177.089996,180.419998,177.070007,180.330002,178.768845,74919600
"7955","2021-12-28",180.160004,181.330002,178.529999,179.289993,177.737854,79144300
"7956","2021-12-29",179.330002,180.630005,178.139999,179.380005,177.827057,62348900
"7957","2021-12-30",179.470001,180.570007,178.089996,178.199997,176.657272,59773000
"7958","2021-12-31",178.089996,179.229996,177.259995,177.570007,176.03273,64062300
"7959","2022-01-03",177.830002,182.880005,177.710007,182.009995,180.434296,104487900
"7960","2022-01-04",182.630005,182.940002,179.119995,179.699997,178.144302,99310400
"7961","2022-01-05",179.610001,180.169998,174.639999,174.919998,173.405655,94537600
"7962","2022-01-06",172.699997,175.300003,171.639999,172,170.510986,96904000
"7963","2022-01-07",172.889999,174.139999,171.029999,172.169998,170.679489,86709100
"7964","2022-01-10",169.080002,172.5,168.169998,172.190002,170.69931,106765600
"7965","2022-01-11",172.320007,175.179993,170.820007,175.080002,173.564316,76138300
"7966","2022-01-12",176.119995,177.179993,174.820007,175.529999,174.010406,74805200
"7967","2022-01-13",175.779999,176.619995,171.789993,172.190002,170.69931,84505800
"7968","2022-01-14",171.339996,173.779999,171.089996,173.070007,171.571686,80440800
"7969","2022-01-18",171.509995,172.539993,169.410004,169.800003,168.330002,90956700
"7970","2022-01-19",170,171.080002,165.940002,166.229996,164.790909,94815000
"7971","2022-01-20",166.979996,169.679993,164.179993,164.509995,163.085815,91420500
"7972","2022-01-21",164.419998,166.330002,162.300003,162.410004,161.003983,122848900
"7973","2022-01-24",160.020004,162.300003,154.699997,161.619995,160.220825,162294600
"7974","2022-01-25",158.979996,162.759995,157.020004,159.779999,158.396744,115798400
"7975","2022-01-26",163.5,164.389999,157.820007,159.690002,158.307526,108275300
"7976","2022-01-27",162.449997,163.839996,158.279999,159.220001,157.841599,121954600
"7977","2022-01-28",165.710007,170.350006,162.800003,170.330002,168.855423,179935700
"7978","2022-01-31",170.160004,175,169.509995,174.779999,173.266876,115541600
"7979","2022-02-01",174.009995,174.839996,172.309998,174.610001,173.098358,86213900
"7980","2022-02-02",174.75,175.880005,173.330002,175.839996,174.317703,84914300
"7981","2022-02-03",174.479996,176.240005,172.119995,172.899994,171.403152,89418100
"7982","2022-02-04",171.679993,174.100006,170.679993,172.389999,171.115326,82465400
"7983","2022-02-07",172.860001,173.949997,170.949997,171.660004,170.390717,77251200
"7984","2022-02-08",171.729996,175.350006,171.429993,174.830002,173.537262,74829200
"7985","2022-02-09",176.050003,176.649994,174.899994,176.279999,174.976532,71285000
"7986","2022-02-10",174.139999,175.479996,171.550003,172.119995,170.847305,90865900
"7987","2022-02-11",172.330002,173.080002,168.039993,168.639999,167.393051,98670700
"7988","2022-02-14",167.369995,169.580002,166.559998,168.880005,167.631287,86185500
"7989","2022-02-15",170.970001,172.949997,170.25,172.789993,171.512344,62527400
"7990","2022-02-16",171.850006,173.339996,170.050003,172.550003,171.274124,61177400
"7991","2022-02-17",171.029999,171.910004,168.470001,168.880005,167.631287,69589300
"7992","2022-02-18",169.820007,170.539993,166.190002,167.300003,166.062958,82772700
"7993","2022-02-22",164.979996,166.690002,162.149994,164.320007,163.105011,91162800
"7994","2022-02-23",165.539993,166.149994,159.75,160.070007,158.886414,90009200
"7995","2022-02-24",152.580002,162.850006,152,162.740005,161.536682,141147500
"7996","2022-02-25",163.839996,165.119995,160.869995,164.850006,163.631073,91974200
"7997","2022-02-28",163.059998,165.419998,162.429993,165.119995,163.899078,95056600
"7998","2022-03-01",164.699997,166.600006,161.970001,163.199997,161.993256,83474400
"7999","2022-03-02",164.389999,167.360001,162.949997,166.559998,165.328415,79724800
"8000","2022-03-03",168.470001,168.910004,165.550003,166.229996,165.00087,76678400
"8001","2022-03-04",164.490005,165.550003,162.100006,163.169998,161.963486,83737200
"8002","2022-03-07",163.360001,165.020004,159.039993,159.300003,158.122101,96418800
